,Festival_Name,Location,Latitude_Location,Longitude_Location,Country,Latitude_country,Longitude_country,Year,Attendance_Numbers,Age_Category,Visitor_Demographics,Economic_Impact,Economic_Impact_USD,Music_Genre,Flag_URL
0,Glastonbury Festival,Somerset,51.2093,-2.6453,UK,55.3781,-3.436,2024,200000,25-34,Music Enthusiasts,£100 million,126000000.0,Various,https://flagcdn.com/w320/gb.png
1,Tomorrowland,Boom,51.0913,4.3717,Belgium,50.5039,4.4699,2024,400000,18-24,EDM Fans,€150 million,163500000.0,EDM,https://flagcdn.com/w320/be.png
2,Sziget Festival,Budapest,47.4979,19.0402,Hungary,47.1625,19.5033,2024,500000,25-34,International Attendees,€130 million,141700000.0,Various,https://flagcdn.com/w320/hu.png
3,Rock am Ring,Nürburg,50.3345,6.947,Germany,51.1657,10.4515,2024,90000,25-34,Rock Fans,€80 million,87200000.0,Rock,https://flagcdn.com/w320/de.png
4,Roskilde Festival,Roskilde,55.6419,12.0878,Denmark,56.2639,9.5018,2024,130000,25-34,Alternative Music Lovers,DKK 70 million,9800000.000000002,Alternative,https://flagcdn.com/w320/dk.png
5,Reading Festival,Reading,51.4543,-0.9781,UK,55.3781,-3.436,2024,100000,25-34,Rock and Indie Fans,£60 million,75600000.0,Rock/Indie,https://flagcdn.com/w320/gb.png
6,Paris Jazz Festival,Paris,48.8566,2.3522,France,46.6034,1.8883,2024,60000,45-54,Jazz Enthusiasts,€20 million,21800000.0,Jazz,https://flagcdn.com/w320/fr.png
7,Benicàssim Festival,Benicàssim,40.047,0.0483,Spain,40.4637,-3.7492,2024,40000,25-34,Pop and Indie Fans,€15 million,16350000.000000002,Pop/Indie,https://flagcdn.com/w320/es.png
8,Exit Festival,Novi Sad,45.2671,19.8335,Serbia,44.0165,21.0059,2024,200000,18-24,Electronic and Rock Fans,€50 million,54500000.00000001,Electronic/Rock,https://flagcdn.com/w320/rs.png
9,Primavera Sound,Barcelona,41.3851,2.1734,Spain,40.4637,-3.7492,2024,200000,25-34,Indie and Electronic Music Lovers,€70 million,76300000.0,Indie/Electronic,https://flagcdn.com/w320/es.png
10,Lollapalooza Berlin,Berlin,52.52,13.405,Germany,51.1657,10.4515,2024,100000,25-34,Alternative Music Fans,€40 million,43600000.0,Alternative,https://flagcdn.com/w320/de.png
11,Pukkelpop,Hasselt,50.9311,5.3378,Belgium,50.5039,4.4699,2024,200000,25-34,Diverse Music Genres,€60 million,65400000.00000001,Various,https://flagcdn.com/w320/be.png
12,Arenal Sound,Burriana,39.8897,-0.0851,Spain,40.4637,-3.7492,2024,150000,18-24,Pop and Rock Fans,€30 million,32700000.000000004,Pop/Rock,https://flagcdn.com/w320/es.png
13,Dour Festival,Dour,50.3956,3.7758,Belgium,50.5039,4.4699,2024,200000,25-34,Rock and Electronic Fans,€55 million,59950000.00000001,Rock/Electronic,https://flagcdn.com/w320/be.png
14,Rock Werchter,Werchter,50.9671,4.7002,Belgium,50.5039,4.4699,2024,150000,25-34,Rock Enthusiasts,€85 million,92650000.0,Rock,https://flagcdn.com/w320/be.png
15,Sonar Festival,Barcelona,41.3851,2.1734,Spain,40.4637,-3.7492,2024,100000,25-34,Electronic Music Fans,€35 million,38150000.0,Electronic,https://flagcdn.com/w320/es.png
16,Wacken Open Air,Wacken,54.0222,9.3766,Germany,51.1657,10.4515,2024,75000,25-34,Metal Fans,€45 million,49050000.0,Metal,https://flagcdn.com/w320/de.png
17,T in the Park,Strathallan Castle,56.2855,-3.6886,UK,55.3781,-3.436,2024,80000,25-34,Rock and Pop Fans,£40 million,50400000.0,Rock/Pop,https://flagcdn.com/w320/gb.png
18,Mysteryland,Haarlem,52.3874,4.6462,Netherlands,52.1326,5.2913,2024,90000,18-24,EDM Fans,€25 million,27250000.000000004,EDM,https://flagcdn.com/w320/nl.png
19,Kendal Calling,Kendal,54.3268,-2.7476,UK,55.3781,-3.436,2024,40000,25-34,Indie and Alternative Music Fans,£15 million,18900000.0,Indie/Alternative,https://flagcdn.com/w320/gb.png
